CODE,ORIGINAL ARTIST,SONG TITLE
3373,KIDNAP KATRINA,MUAK
14975,,AKU TRESNO KOWE
12497,GRUVI,MASIH MENCINTAIMU
3401,,PENCINTA ULUNG
8602,,EASILY
11335,,TUNDUINA LAN KEMAPPARISAN
12806,,INTO THE LIGHT
16768,VICTOR PRADIPTA,LAMENT.
4390,,SUDAH BIASA
4612,,RINDU MASA KECIL
505,THE ADAMS,PESONA PERSONA
4804,THE45,HATI YANG LAIN
18010,ZEROSIX PARK,KARMA
11255,,APARA KASALANKU
5054,,KESENGSEM
16749,,DEWI CINTA
14355,CHAI,RADAR
13267,MR JARWO,UJANG DKK
7051,MUSLIH,UKHUWAH ACAPELLA
8413,OTTA TARREGA,AMBER
18322,,HATI UNTUKMU MATI
17814,NOWELA MIKHELIA,RUNNIN
2892,JUNIOR SOEMANTRI,RIBUAN SAYA
6668,ARSHA COMPOSER,ISTIMEWA
1875,,LAGU UNTUK PERSAHABATAN
9991,,HUJAN
5626,FIERSA BESARI,EPILOG
9426,"RIDA,SITA,DEWI",TAK PERLU MEMILIKI
3461,TAKE OVER X JHON PAUL IVAN,SUDAHI SAJA
3547,PONGKI BARATA,RAHASIA
13638,,STASIUN PURWOSARI
2495,KOES PLUS,MARI-MARI
412,LA LUNA,TETAP SETIA
16803,RABEN,REAL TALK
11389,ISHAK RANTE TODING,RASA DI HATIKU
3368,,IM ONLY GOOD AT FIRST DATES
18048,PERFECTA,NO MORE
7285,JUDIKA,HILANG TAPI ADA
6309,DIDI KEMPOT,PLONG
10446,CHICHA KOESWOYO,ADIKKU MANIS
17365,THE RENTENIR,ON YOUR BIRTHDAY
6934,DITA,LAGU RINDU
13751,,DARI HATI
10234,MADAHARSA,TAK LAGI SAMA
14959,THE GREAT HARVEST,KAU
9744,,INGIN LUPA
9458,PRIADHS FEAT NASYA,CANDYWINE
1749,,HATIKU PILU
17370,,TIDAK ADA SALJU DISINI PT 5
3384,,SIKLUS
5116,RAN,KARENA KUSUKA DIRIMU
12398,,PENGKHIANAT WANITA
7721,,POWERFUL NAME
14601,MONICA CHRISTIANA,MALAM TAK BERJUDUL
12308,,SAMALONA
5686,SAM BIMBO,DIA
11578,,CINTA CINTA CINTA
7660,BOBBY FEBIAN,KUNIKMATI KEBAIKANMU
11205,GANGGA,EMPTY HOUSE
4776,DUL JAELANI,SANG PEMUJA
2032,,MALAM RESAH
16546,STVE JAY,HBD MOM
10427,NO KOES,JARANAN
5379,,THE BLESSED SIGH
17201,JASON RANTI,SEKILAS INFO
13985,BROCKERS,KUINGIN
4370,,JUST YOU
16238,,VERSET II
10024,,REMBIK
6077,GAOLS NAIBAHO,LUPAHON MA HALLET MI
